productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,extCost,extPitchValue,extDefenseValue,extCardSubType,extPower
563799,Sigil of Deadwood,Sigil of Deadwood,https://tcgplayer-cdn.tcgplayer.com/product/563799_200w.jpg,62,23540,https://cpt.tcgcsv.com/_ww6,2024-09-20T04:08:44,1,0.01,0.25,1.4,0.09,,Normal,Rare,ROS161,Action,Runeblade,,,,0,3,,Aura,
563801,Sigil of Temporal Manipulation,Sigil of Temporal Manipulation,https://tcgplayer-cdn.tcgplayer.com/product/563801_200w.jpg,62,23540,https://cpt.tcgcsv.com/2xw6,2024-09-20T04:08:44,1,0.04,0.25,1.0,0.17,,Normal,Rare,ROS182,Instant,Wizard,,,,0,3,,Aura,
563802,Sigil of Forethought,Sigil of Forethought,https://tcgplayer-cdn.tcgplayer.com/product/563802_200w.jpg,62,23540,https://cpt.tcgcsv.com/3xw6,2024-09-20T04:08:44,1,0.02,0.2,1.41,0.11,,Normal,Rare,ROS210,Instant,Wizard,,,,0,3,,Aura,
563803,Sigil of Cycles,Sigil of Cycles,https://tcgplayer-cdn.tcgplayer.com/product/563803_200w.jpg,62,23540,https://cpt.tcgcsv.com/5xw6,2024-09-20T04:08:44,1,0.06,0.25,1.39,0.22,,Normal,Rare,ROS226,Action,Generic,,,,0,3,2,Aura,
563805,Sigil of Fyendal,Sigil of Fyendal,https://tcgplayer-cdn.tcgplayer.com/product/563805_200w.jpg,62,23540,https://cpt.tcgcsv.com/7xw6,2024-09-20T04:08:44,1,0.01,0.22,1.39,0.08,,Normal,Rare,ROS230,Action,Generic,,,,0,3,2,Aura,
563808,Splatter Skull,Splatter Skull,https://tcgplayer-cdn.tcgplayer.com/product/563808_200w.jpg,62,23540,https://cpt.tcgcsv.com/bxw6,2024-09-20T04:08:44,1,3.6,9.99,24.0,8.92,,Normal,Majestic,ROS243,Action,Brute,,,,2,1,3,Attack,6
563808,Splatter Skull,Splatter Skull,https://tcgplayer-cdn.tcgplayer.com/product/563808_200w.jpg,62,23540,https://cpt.tcgcsv.com/bxw6,2024-09-20T04:08:44,1,16.0,20.35,40.0,9.07,,Rainbow Foil,Majestic,ROS243,Action,Brute,,,,2,1,3,Attack,6
563809,Adaptive Dissolver,Adaptive Dissolver,https://tcgplayer-cdn.tcgplayer.com/product/563809_200w.jpg,62,23540,https://cpt.tcgcsv.com/cxw6,2024-09-20T04:08:44,1,7.67,9.49,14.0,8.07,,Normal,Majestic,ROS246,Equipment,Mechanologist,,,,,,,Base,
563809,Adaptive Dissolver,Adaptive Dissolver,https://tcgplayer-cdn.tcgplayer.com/product/563809_200w.jpg,62,23540,https://cpt.tcgcsv.com/cxw6,2024-09-20T04:08:44,1,35.64,38.52,69.99,37.97,,Cold Foil,Majestic,ROS246,Equipment,Mechanologist,,,,,,,Base,
563810,Fluttersteps,Fluttersteps,https://tcgplayer-cdn.tcgplayer.com/product/563810_200w.jpg,62,23540,https://cpt.tcgcsv.com/dxw6,2024-09-20T04:08:44,1,1.8,2.25,24.17,2.18,,Cold Foil,Majestic,ROS251,Equipment,Illusionist,,,,,,,Legs,
563810,Fluttersteps,Fluttersteps,https://tcgplayer-cdn.tcgplayer.com/product/563810_200w.jpg,62,23540,https://cpt.tcgcsv.com/dxw6,2024-09-20T04:08:44,1,0.08,0.53,14.0,0.45,,Normal,Majestic,ROS251,Equipment,Illusionist,,,,,,,Legs,
563811,Plan for the Worst,Plan for the Worst,https://tcgplayer-cdn.tcgplayer.com/product/563811_200w.jpg,62,23540,https://cpt.tcgcsv.com/fxw6,2024-09-20T04:08:44,1,0.59,2.15,16.95,1.39,,Normal,Majestic,ROS247,Action,Ranger,,,,0,3,3,,
563811,Plan for the Worst,Plan for the Worst,https://tcgplayer-cdn.tcgplayer.com/product/563811_200w.jpg,62,23540,https://cpt.tcgcsv.com/fxw6,2024-09-20T04:08:44,1,2.82,3.73,26.95,3.77,,Rainbow Foil,Majestic,ROS247,Action,Ranger,,,,0,3,3,,
563812,Fry (Red),Fry Red,https://tcgplayer-cdn.tcgplayer.com/product/563812_200w.jpg,62,23540,https://cpt.tcgcsv.com/gxw6,2024-09-20T04:08:44,1,0.1,0.25,1.05,0.23,,Rainbow Foil,Common,ROS092,Action,,Lightning,,,0,1,0,Attack,3
563812,Fry (Red),Fry Red,https://tcgplayer-cdn.tcgplayer.com/product/563812_200w.jpg,62,23540,https://cpt.tcgcsv.com/gxw6,2024-09-20T04:08:44,1,0.08,0.21,0.95,0.15,,Normal,Common,ROS092,Action,,Lightning,,,0,1,0,Attack,3
563813,Fry (Yellow),Fry Yellow,https://tcgplayer-cdn.tcgplayer.com/product/563813_200w.jpg,62,23540,https://cpt.tcgcsv.com/hxw6,2024-09-20T04:08:44,1,0.02,0.16,1.4,0.07,,Normal,Common,ROS093,Action,,Lightning,,,0,2,0,Attack,2
563813,Fry (Yellow),Fry Yellow,https://tcgplayer-cdn.tcgplayer.com/product/563813_200w.jpg,62,23540,https://cpt.tcgcsv.com/hxw6,2024-09-20T04:08:44,1,0.06,0.25,0.89,0.09,,Rainbow Foil,Common,ROS093,Action,,Lightning,,,0,2,0,Attack,2
563814,Fry (Blue),Fry Blue,https://tcgplayer-cdn.tcgplayer.com/product/563814_200w.jpg,62,23540,https://cpt.tcgcsv.com/jxw6,2024-09-20T04:08:44,1,0.05,0.25,0.86,0.06,,Rainbow Foil,Common,ROS094,Action,,Lightning,,,0,3,0,Attack,1
563814,Fry (Blue),Fry Blue,https://tcgplayer-cdn.tcgplayer.com/product/563814_200w.jpg,62,23540,https://cpt.tcgcsv.com/jxw6,2024-09-20T04:08:44,1,0.02,0.15,1.4,0.04,,Normal,Common,ROS094,Action,,Lightning,,,0,3,0,Attack,1
564555,Florian (Marvel),Florian Marvel,https://tcgplayer-cdn.tcgplayer.com/product/564555_200w.jpg,62,23540,https://cpt.tcgcsv.com/7Rw6,2024-09-20T04:08:44,2,48.0,50.98,68.19,35.72,,Cold Foil,Marvel,ROS002-MV,Hero,Runeblade,Elemental,4,20,,,,Young,
565389,Florian // Verdance,Florian Verdance,https://tcgplayer-cdn.tcgplayer.com/product/565389_200w.jpg,62,23540,https://cpt.tcgcsv.com/P9x6,2024-09-27T18:51:07.13,1,0.03,0.12,0.74,0.12,,Normal,Token,ROS002 // ROS014,Hero,Runeblade;Wizard,Elemental,4,20,,,,Young,
565390,Aurora // Oscilio,Aurora Oscilio,https://tcgplayer-cdn.tcgplayer.com/product/565390_200w.jpg,62,23540,https://cpt.tcgcsv.com/Q9x6,2024-09-27T18:53:58.777,1,0.02,0.15,1.41,0.12,,Normal,Token,ROS008 // ROS020,Hero,Runeblade;Wizard,Elemental,4 // 4,20 // 18,,,,Young,
565391,Aurora (Marvel),Aurora Marvel,https://tcgplayer-cdn.tcgplayer.com/product/565391_200w.jpg,62,23540,https://cpt.tcgcsv.com/R9x6,2024-09-23T14:57:52.3,2,44.99,48.28,50.72,31.06,,Cold Foil,Marvel,ROS008,Hero,Runeblade,Elemental,4,20,,,,Young,
565392,Aurora (Marvel) (Alternate Art),Aurora Marvel Alternate Art,https://tcgplayer-cdn.tcgplayer.com/product/565392_200w.jpg,62,23540,https://cpt.tcgcsv.com/S9x6,2025-03-03T16:59:39.927,2,189.99,199.74,237.5,62.51,,Cold Foil,Marvel,ROS008,Hero,Runeblade,Elemental,4,20,,,,Young,
565393,"Star Fall // Volzar, the Lightning Rod",Star Fall Volzar the Lightning Rod,https://tcgplayer-cdn.tcgplayer.com/product/565393_200w.jpg,62,23540,https://cpt.tcgcsv.com/T9x6,2024-09-27T18:55:55.967,1,0.03,0.15,1.42,0.13,,Normal,Token,ROS009 // ROS021,Weapon,Runeblade;Wizard,Lightning,,,,,,Staff (2H);Sword (2H),1
565394,Vaporize // Shock,Vaporize Shock,https://tcgplayer-cdn.tcgplayer.com/product/565394_200w.jpg,62,23540,https://cpt.tcgcsv.com/V9x6,2024-09-20T04:08:44,1,0.89,1.5,5.0,1.19,,Rainbow Foil,Majestic,ROS011,Instant,Runeblade,Lightning,,,0,2,,,
565394,Vaporize // Shock,Vaporize Shock,https://tcgplayer-cdn.tcgplayer.com/product/565394_200w.jpg,62,23540,https://cpt.tcgcsv.com/V9x6,2024-09-20T04:08:44,1,0.24,0.99,19.0,0.49,,Normal,Majestic,ROS011,Instant,Runeblade,Lightning,,,0,2,,,
565396,Verdance (Marvel),Verdance Marvel,https://tcgplayer-cdn.tcgplayer.com/product/565396_200w.jpg,62,23540,https://cpt.tcgcsv.com/X9x6,2024-09-23T14:51:59.943,2,48.95,54.48,60.0,47.08,,Cold Foil,Marvel,ROS014,Hero,Wizard,Elemental,4,20,,,,Young,
565398,Oscilio (Marvel),Oscilio Marvel,https://tcgplayer-cdn.tcgplayer.com/product/565398_200w.jpg,62,23540,https://cpt.tcgcsv.com/-9x6,2024-09-23T15:10:13.3,2,36.96,38.6,44.4,23.84,,Cold Foil,Marvel,ROS020,Hero,Wizard,Elemental,4,18,,,,Young,
565399,"Volzar, the Lightning Rod",Volzar the Lightning Rod,https://tcgplayer-cdn.tcgplayer.com/product/565399_200w.jpg,62,23540,https://cpt.tcgcsv.com/_9x6,2024-10-01T18:18:51.513,1,13.0,16.5,19.93,17.18,,Cold Foil,Token,ROS021,Weapon,Wizard,Lightning,,,,,,Staff (2H),
565400,Sigil of Brilliance,Sigil of Brilliance,https://tcgplayer-cdn.tcgplayer.com/product/565400_200w.jpg,62,23540,https://cpt.tcgcsv.com/0bx6,2024-09-20T04:08:44,1,9.48,12.0,18.95,10.53,,Normal,Majestic,ROS022,Instant,Wizard,Lightning,,,0,2,,Aura,
565401,Embodiment of Earth,Embodiment of Earth,https://tcgplayer-cdn.tcgplayer.com/product/565401_200w.jpg,62,23540,https://cpt.tcgcsv.com/2bx6,2024-09-20T04:08:44,1,0.03,0.2,0.5,0.15,,Normal,Token,ROS025,Token,,Elemental,,,,,,Aura,
565402,Embodiment of Lightning,Embodiment of Lightning,https://tcgplayer-cdn.tcgplayer.com/product/565402_200w.jpg,62,23540,https://cpt.tcgcsv.com/3bx6,2024-09-20T04:08:44,1,0.06,0.17,0.68,0.15,,Normal,Token,ROS026,Token,,Elemental,,,,,,Aura,
565403,Sigil of Sanctuary,Sigil of Sanctuary,https://tcgplayer-cdn.tcgplayer.com/product/565403_200w.jpg,62,23540,https://cpt.tcgcsv.com/5bx6,2024-09-20T04:08:44,1,0.05,0.24,501.5,0.13,,Normal,Rare,ROS045,Instant,,Earth,,,0,3,,Aura,
