productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extCardSubType,extClass,extDefenseValue,extCost,extPitchValue,extPower,extIntellect,extLife,extFlavorText
271144,Feign Death,Feign Death,https://tcgplayer-cdn.tcgplayer.com/product/271144_200w.jpg,62,3053,https://cpt.tcgcsv.com/Vsb3,2025-03-13T18:20:57.273,1,0.2,0.5,4.5,0.39,,Normal,Majestic,1HP233,Instant,,Ranger,,1,2,,,,
271145,Twinning Blade,Twinning Blade,https://tcgplayer-cdn.tcgplayer.com/product/271145_200w.jpg,62,3053,https://cpt.tcgcsv.com/Wsb3,2025-03-13T18:20:47.58,1,0.81,1.4,5.99,0.85,,Normal,Majestic,1HP150,Attack Reaction,,Warrior,3,0,2,,,,
271146,Razor Reflex (Blue),Razor Reflex Blue,https://tcgplayer-cdn.tcgplayer.com/product/271146_200w.jpg,62,3053,https://cpt.tcgcsv.com/Xsb3,2022-05-06T10:10:57.547,1,0.05,0.15,1.43,0.08,,Normal,Common,1HP404,Attack Reaction,,Generic,2,1,3,,,,
271147,Sutcliffe's Research Notes (Blue),Sutcliffes Research Notes Blue,https://tcgplayer-cdn.tcgplayer.com/product/271147_200w.jpg,62,3053,https://cpt.tcgcsv.com/Zsb3,2025-03-13T18:20:38.243,1,0.05,0.15,1.43,0.05,,Normal,Common,1HP299,Action,,Runeblade,2,1,3,,,,
271148,Take Cover (Red),Take Cover Red,https://tcgplayer-cdn.tcgplayer.com/product/271148_200w.jpg,62,3053,https://cpt.tcgcsv.com/-sb3,2022-05-06T10:31:35.227,1,0.15,0.35,4.57,0.24,,Normal,Rare,1HP234,Defense Reaction,,Ranger,4,0,1,,,,"<em>In the Pits, every nook, cranny, or demolition debris serves as worthy refuge when it's time to take cover.</em>"
271149,Take Cover (Yellow),Take Cover Yellow,https://tcgplayer-cdn.tcgplayer.com/product/271149_200w.jpg,62,3053,https://cpt.tcgcsv.com/_sb3,2022-05-06T10:37:10.48,1,0.02,0.25,1.46,0.08,,Normal,Rare,1HP235,Defense Reaction,,Ranger,3,0,2,,,,"<em>In the Pits, every nook, cranny, or demolition debris serves as worthy refuge when it's time to take cover.</em>"
271150,Spoils of War,Spoils of War,https://tcgplayer-cdn.tcgplayer.com/product/271150_200w.jpg,62,3053,https://cpt.tcgcsv.com/0tb3,2025-03-13T18:20:30.3,1,1.3,3.55,18.01,3.34,,Normal,Majestic,1HP151,Action,,Warrior,3,1,1,,,,
271151,Runechant,Runechant,https://tcgplayer-cdn.tcgplayer.com/product/271151_200w.jpg,62,3053,https://cpt.tcgcsv.com/2tb3,2025-03-13T18:20:22.423,1,0.18,0.29,3.79,0.23,,Normal,Common,1HP300,Token,Aura,Runeblade,,,,,,,
271152,Take Cover (Blue),Take Cover Blue,https://tcgplayer-cdn.tcgplayer.com/product/271152_200w.jpg,62,3053,https://cpt.tcgcsv.com/3tb3,2022-05-06T10:32:06.923,1,0.07,0.25,1.45,0.18,,Normal,Rare,1HP236,Defense Reaction,,Ranger,2,0,3,,,,"<em>In the Pits, every nook, cranny, or demolition debris serves as worthy refuge when it's time to take cover.</em>"
271153,Steelblade Supremacy,Steelblade Supremacy,https://tcgplayer-cdn.tcgplayer.com/product/271153_200w.jpg,62,3053,https://cpt.tcgcsv.com/5tb3,2022-05-06T10:30:11.16,1,0.25,0.97,3.99,0.51,,Normal,Majestic,1HP152,Action,,Warrior,3,1,1,,,,
