productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extCardType,extClass,extTalent,extIntellect,extLife,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCost,extPitchValue,extCardSubType,extPower,extDefenseValue,extFlavorText
653300,Low Blow,Low Blow,https://tcgplayer-cdn.tcgplayer.com/product/653300_200w.jpg,62,24371,https://cpt.tcgcsv.com/0lf7,2025-09-26T04:11:04.067,1,Common,SUP110,Action,Brute,Reviled,,,0.01,0.2,0.75,0.07,,Normal,1,1,Attack,3,,
653379,Tension in the Air (Red),Tension in the Air Red,https://tcgplayer-cdn.tcgplayer.com/product/653379_200w.jpg,62,24371,https://cpt.tcgcsv.com/Cmf7,2025-09-26T04:11:04.067,1,Common,SUP204,Instant,Guardian,,,,0.17,0.39,4.99,0.39,,Rainbow Foil,2,1,Aura,,3,
653379,Tension in the Air (Red),Tension in the Air Red,https://tcgplayer-cdn.tcgplayer.com/product/653379_200w.jpg,62,24371,https://cpt.tcgcsv.com/Cmf7,2025-09-26T04:11:04.067,1,Common,SUP204,Instant,Guardian,,,,0.01,0.19,0.76,0.12,,Normal,2,1,Aura,,3,
653380,Tension in the Air (Yellow),Tension in the Air Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653380_200w.jpg,62,24371,https://cpt.tcgcsv.com/Dmf7,2025-09-26T04:11:04.067,1,Common,SUP205,Instant,Guardian,,,,0.19,0.4,4.99,0.36,,Rainbow Foil,2,2,Aura,,3,
653380,Tension in the Air (Yellow),Tension in the Air Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653380_200w.jpg,62,24371,https://cpt.tcgcsv.com/Dmf7,2025-09-26T04:11:04.067,1,Common,SUP205,Instant,Guardian,,,,0.03,0.15,0.75,0.11,,Normal,2,2,Aura,,3,
653381,Unexpected Backhand (Red),Unexpected Backhand Red,https://tcgplayer-cdn.tcgplayer.com/product/653381_200w.jpg,62,24371,https://cpt.tcgcsv.com/Fmf7,2025-09-26T04:11:04.067,1,Common,SUP161,Action,Brute,,,,0.01,0.2,0.99,0.08,,Normal,3,1,Attack,7,3,"<em>""You underestimate Kayo, you'll end up six feet under."" - Fightmaster Batbiter</em>"
653381,Unexpected Backhand (Red),Unexpected Backhand Red,https://tcgplayer-cdn.tcgplayer.com/product/653381_200w.jpg,62,24371,https://cpt.tcgcsv.com/Fmf7,2025-09-26T04:11:04.067,1,Common,SUP161,Action,Brute,,,,0.14,0.27,4.99,0.27,,Rainbow Foil,3,1,Attack,7,3,"<em>""You underestimate Kayo, you'll end up six feet under."" - Fightmaster Batbiter</em>"
653382,Tension in the Air (Blue),Tension in the Air Blue,https://tcgplayer-cdn.tcgplayer.com/product/653382_200w.jpg,62,24371,https://cpt.tcgcsv.com/Gmf7,2025-09-26T04:11:04.067,1,Common,SUP206,Instant,Guardian,,,,0.1,0.38,4.99,0.37,,Rainbow Foil,2,3,Aura,,3,
653382,Tension in the Air (Blue),Tension in the Air Blue,https://tcgplayer-cdn.tcgplayer.com/product/653382_200w.jpg,62,24371,https://cpt.tcgcsv.com/Gmf7,2025-09-26T04:11:04.067,1,Common,SUP206,Instant,Guardian,,,,0.03,0.2,0.76,0.12,,Normal,2,3,Aura,,3,
653383,Unexpected Backhand (Yellow),Unexpected Backhand Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653383_200w.jpg,62,24371,https://cpt.tcgcsv.com/Hmf7,2025-09-26T04:11:04.067,1,Common,SUP162,Action,Brute,,,,0.01,0.25,4.99,0.23,,Rainbow Foil,3,2,Attack,6,3,"<em>""You underestimate Kayo, you'll end up six feet under."" - Fightmaster Batbiter</em>"
653383,Unexpected Backhand (Yellow),Unexpected Backhand Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653383_200w.jpg,62,24371,https://cpt.tcgcsv.com/Hmf7,2025-09-26T04:11:04.067,1,Common,SUP162,Action,Brute,,,,0.03,0.2,25.0,0.13,,Normal,3,2,Attack,6,3,"<em>""You underestimate Kayo, you'll end up six feet under."" - Fightmaster Batbiter</em>"
653384,Unexpected Backhand (Blue),Unexpected Backhand Blue,https://tcgplayer-cdn.tcgplayer.com/product/653384_200w.jpg,62,24371,https://cpt.tcgcsv.com/Jmf7,2025-09-26T04:11:04.067,1,Common,SUP163,Action,Brute,,,,0.01,0.16,0.75,0.11,,Normal,3,3,Attack,5,3,"<em>""You underestimate Kayo, you'll end up six feet under."" - Fightmaster Batbiter</em>"
653384,Unexpected Backhand (Blue),Unexpected Backhand Blue,https://tcgplayer-cdn.tcgplayer.com/product/653384_200w.jpg,62,24371,https://cpt.tcgcsv.com/Jmf7,2025-09-26T04:11:04.067,1,Common,SUP163,Action,Brute,,,,0.2,0.35,4.99,0.37,,Rainbow Foil,3,3,Attack,5,3,"<em>""You underestimate Kayo, you'll end up six feet under."" - Fightmaster Batbiter</em>"
653385,Act of Glory (Red),Act of Glory Red,https://tcgplayer-cdn.tcgplayer.com/product/653385_200w.jpg,62,24371,https://cpt.tcgcsv.com/Kmf7,2025-09-26T04:11:04.067,1,Common,SUP195,Instant,Guardian,,,,0.03,0.15,0.76,0.12,,Normal,4,1,Aura,,3,
653385,Act of Glory (Red),Act of Glory Red,https://tcgplayer-cdn.tcgplayer.com/product/653385_200w.jpg,62,24371,https://cpt.tcgcsv.com/Kmf7,2025-09-26T04:11:04.067,1,Common,SUP195,Instant,Guardian,,,,0.15,0.35,4.99,0.34,,Rainbow Foil,4,1,Aura,,3,
653386,Edge of Their Seats (Red),Edge of Their Seats Red,https://tcgplayer-cdn.tcgplayer.com/product/653386_200w.jpg,62,24371,https://cpt.tcgcsv.com/Lmf7,2025-09-26T04:11:04.067,1,Common,SUP201,Instant,Guardian,,,,0.01,0.15,0.75,0.1,,Normal,3,1,Aura,,3,
653386,Edge of Their Seats (Red),Edge of Their Seats Red,https://tcgplayer-cdn.tcgplayer.com/product/653386_200w.jpg,62,24371,https://cpt.tcgcsv.com/Lmf7,2025-09-26T04:11:04.067,1,Common,SUP201,Instant,Guardian,,,,0.14,0.37,4.99,0.36,,Rainbow Foil,3,1,Aura,,3,
653387,Act of Glory (Yellow),Act of Glory Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653387_200w.jpg,62,24371,https://cpt.tcgcsv.com/Mmf7,2025-09-26T04:11:04.067,1,Common,SUP196,Instant,Guardian,,,,0.2,0.35,4.99,0.35,,Rainbow Foil,4,2,Aura,,3,
653387,Act of Glory (Yellow),Act of Glory Yellow,https://tcgplayer-cdn.tcgplayer.com/product/653387_200w.jpg,62,24371,https://cpt.tcgcsv.com/Mmf7,2025-09-26T04:11:04.067,1,Common,SUP196,Instant,Guardian,,,,0.01,0.15,5.0,0.07,,Normal,4,2,Aura,,3,
