productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extCardType,extClass,extIntellect,extLife,extCardSubType,extTalent,extCost,extPitchValue,extDefenseValue,extPower,extFlavorText
612638,Coat of Allegiance,Coat of Allegiance,https://tcgplayer-cdn.tcgplayer.com/product/612638_200w.jpg,62,23815,https://cpt.tcgcsv.com/N3W6,2025-01-31T05:10:13.37,1,0.79,0.99,4.5,0.96,,Cold Foil,Common,HNT148,Equipment,,,,Chest,Draconic,,,0,,
612639,Compounding Anger (Red),Compounding Anger Red,https://tcgplayer-cdn.tcgplayer.com/product/612639_200w.jpg,62,23815,https://cpt.tcgcsv.com/P3W6,2025-01-31T05:10:13.37,1,0.24,0.56,5.0,0.35,,Rainbow Foil,Rare,HNT151,Action,,,,Attack,Draconic,3,1,3,5,
612639,Compounding Anger (Red),Compounding Anger Red,https://tcgplayer-cdn.tcgplayer.com/product/612639_200w.jpg,62,23815,https://cpt.tcgcsv.com/P3W6,2025-01-31T05:10:13.37,1,0.05,0.3,1.56,0.28,,Normal,Rare,HNT151,Action,,,,Attack,Draconic,3,1,3,5,
612640,March of Loyalty (Red),March of Loyalty Red,https://tcgplayer-cdn.tcgplayer.com/product/612640_200w.jpg,62,23815,https://cpt.tcgcsv.com/Q3W6,2025-01-31T05:10:13.37,1,0.05,0.25,1.0,0.2,,Normal,Rare,HNT153,Action,,,,Attack,Draconic,0,1,3,4,
612640,March of Loyalty (Red),March of Loyalty Red,https://tcgplayer-cdn.tcgplayer.com/product/612640_200w.jpg,62,23815,https://cpt.tcgcsv.com/Q3W6,2025-01-31T05:10:13.37,1,0.2,0.73,5.0,0.53,,Rainbow Foil,Rare,HNT153,Action,,,,Attack,Draconic,0,1,3,4,
612641,Bubble to the Surface (Red),Bubble to the Surface Red,https://tcgplayer-cdn.tcgplayer.com/product/612641_200w.jpg,62,23815,https://cpt.tcgcsv.com/R3W6,2025-01-31T05:10:13.37,1,0.48,0.74,5.0,0.6,,Rainbow Foil,Rare,HNT154,Instant,,,,,Draconic,2,1,,,
612641,Bubble to the Surface (Red),Bubble to the Surface Red,https://tcgplayer-cdn.tcgplayer.com/product/612641_200w.jpg,62,23815,https://cpt.tcgcsv.com/R3W6,2025-01-31T05:10:13.37,1,0.05,0.25,2.21,0.2,,Normal,Rare,HNT154,Instant,,,,,Draconic,2,1,,,
612642,Rake Over the Coals (Red),Rake Over the Coals Red,https://tcgplayer-cdn.tcgplayer.com/product/612642_200w.jpg,62,23815,https://cpt.tcgcsv.com/S3W6,2025-01-31T05:10:13.37,1,0.1,0.3,1.98,0.31,,Normal,Rare,HNT156,Instant,,,,,Draconic,0,1,,,
612642,Rake Over the Coals (Red),Rake Over the Coals Red,https://tcgplayer-cdn.tcgplayer.com/product/612642_200w.jpg,62,23815,https://cpt.tcgcsv.com/S3W6,2025-01-31T05:10:13.37,1,0.4,0.72,5.0,0.51,,Rainbow Foil,Rare,HNT156,Instant,,,,,Draconic,0,1,,,
612643,Blaze Headlong (Red),Blaze Headlong Red,https://tcgplayer-cdn.tcgplayer.com/product/612643_200w.jpg,62,23815,https://cpt.tcgcsv.com/T3W6,2025-02-13T20:47:40.097,1,0.15,0.25,1.56,0.23,,Normal,Common,HNT157,Action,,,,Attack,Draconic,0,1,2,4,
